
0.0 {'pessoas': 0, 'veiculos': 3}
0.2 {'pessoas': 0, 'veiculos': 3}
0.4 {'pessoas': 0, 'veiculos': 3}
0.6 {'pessoas': 0, 'veiculos': 3}
0.8 {'pessoas': 0, 'veiculos': 3}
1.0 {'pessoas': 0, 'veiculos': 3}
1.2 {'pessoas': 0, 'veiculos': 3}
1.4 {'pessoas': 0, 'veiculos': 3}
1.6 {'pessoas': 0, 'veiculos': 3}
1.8 {'pessoas': 0, 'veiculos': 3}
2.0 {'pessoas': 0, 'veiculos': 3}
2.2 {'pessoas': 0, 'veiculos': 3}
2.4 {'pessoas': 0, 'veiculos': 3}
2.6 {'pessoas': 0, 'veiculos': 3}
2.8 {'pessoas': 0, 'veiculos': 3}
3.0 {'pessoas': 0, 'veiculos': 3}
3.2 {'pessoas': 0, 'veiculos': 3}
3.4 {'pessoas': 0, 'veiculos': 3}
3.6 {'pessoas': 0, 'veiculos': 3}
3.8 {'pessoas': 0, 'veiculos': 3}
4.0 {'pessoas': 0, 'veiculos': 3}
4.2 {'pessoas': 0, 'veiculos': 3}
4.4 {'pessoas': 0, 'veiculos': 3}
4.6 {'pessoas': 0, 'veiculos': 3}
4.8 {'pessoas': 0, 'veiculos': 3}
5.0 {'pessoas': 0, 'veiculos': 3}
5.2 {'pessoas': 0, 'veiculos': 3}
5.4 {'pessoas': 0, 'veiculos': 3}
5.6 {'pessoas': 0, 'veiculos': 3}
5.8 {'pessoas': 0, 'veiculos': 3}
6.0 {'pessoas': 0, 'veiculos': 3}
6.2 {'pessoas': 0, 'veiculos': 3}
6.4 {'pessoas': 0, 'veiculos': 3}
6.6 {'pessoas': 0, 'veiculos': 3}
6.8 {'pessoas': 0, 'veiculos': 3}
7.0 {'pessoas': 0, 'veiculos': 3}
7.2 {'pessoas': 0, 'veiculos': 3}
7.4 {'pessoas': 0, 'veiculos': 3}
7.6 {'pessoas': 0, 'veiculos': 3}
7.8 {'pessoas': 0, 'veiculos': 3}
8.0 {'pessoas': 0, 'veiculos': 3}
8.2 {'pessoas': 0, 'veiculos': 3}
8.4 {'pessoas': 0, 'veiculos': 3}
8.6 {'pessoas': 0, 'veiculos': 3}
8.8 {'pessoas': 0, 'veiculos': 3}
9.0 {'pessoas': 0, 'veiculos': 3}
9.2 {'pessoas': 0, 'veiculos': 3}
9.4 {'pessoas': 0, 'veiculos': 3}
9.6 {'pessoas': 0, 'veiculos': 3}
9.8 {'pessoas': 0, 'veiculos': 3}
10.0 {'pessoas': 0, 'veiculos': 3}
10.2 {'pessoas': 0, 'veiculos': 3}
10.4 {'pessoas': 0, 'veiculos': 3}
10.6 {'pessoas': 0, 'veiculos': 3}
10.8 {'pessoas': 0, 'veiculos': 3}
11.0 {'pessoas': 0, 'veiculos': 3}
11.2 {'pessoas': 0, 'veiculos': 3}
11.4 {'pessoas': 0, 'veiculos': 3}
11.6 {'pessoas': 0, 'veiculos': 3}
11.8 {'pessoas': 0, 'veiculos': 3}
12.0 {'pessoas': 0, 'veiculos': 3}
12.2 {'pessoas': 0, 'veiculos': 3}
12.4 {'pessoas': 0, 'veiculos': 3}
12.6 {'pessoas': 0, 'veiculos': 3}
12.8 {'pessoas': 0, 'veiculos': 3}
13.0 {'pessoas': 0, 'veiculos': 3}
13.2 {'pessoas': 0, 'veiculos': 3}
13.4 {'pessoas': 0, 'veiculos': 3}
13.6 {'pessoas': 0, 'veiculos': 3}
13.8 {'pessoas': 0, 'veiculos': 3}
14.0 {'pessoas': 0, 'veiculos': 3}
14.2 {'pessoas': 0, 'veiculos': 3}
14.4 {'pessoas': 0, 'veiculos': 3}
14.6 {'pessoas': 0, 'veiculos': 3}
14.8 {'pessoas': 0, 'veiculos': 3}
15.0 {'pessoas': 0, 'veiculos': 3}
15.2 {'pessoas': 0, 'veiculos': 3}
15.4 {'pessoas': 0, 'veiculos': 3}
15.6 {'pessoas': 0, 'veiculos': 3}
15.8 {'pessoas': 0, 'veiculos': 3}
16.0 {'pessoas': 0, 'veiculos': 3}
16.2 {'pessoas': 0, 'veiculos': 3}
16.4 {'pessoas': 0, 'veiculos': 3}
16.6 {'pessoas': 0, 'veiculos': 3}
